ids,name_repo,stargazers,watchers,forks,tamaño_kb,issues,network_size
17327112,https://github.com/allonlinux/AMRT,10,3,0,240,1,0
19182418,https://github.com/p1100i/grid2.js,12,3,2,462,5,2
16896848,https://github.com/gabrielmaldi/windows-phone-8-local-font-face,10,5,2,486,0,2
19180230,https://github.com/paulxtiseo/bouncer,10,0,2,280,1,2
17328382,https://github.com/shakyShane/gulp-contribs,10,1,0,112,0,0
17422874,https://github.com/radj/AndroidSMSBackupRestoreCleaner,10,5,10,4522,4,10
17148519,https://github.com/verdesrobert/SEVenCODEHelloWorld,10,3,1,4822,0,1
19088321,https://github.com/samdmarshall/usbTerm,10,1,2,316,0,2
16914287,https://github.com/sheharyarn/freelancer-leaderboard,10,2,0,128,0,0
17327112,https://github.com/allonlinux/AMRT,10,3,0,240,1,0
17379711,https://github.com/roukaour/ascii85,10,2,2,13,0,2
19048727,https://github.com/unRob/representantes.pati.to,10,6,6,3860,14,6
19169867,https://github.com/mugli/unstupify,10,1,6,16,1,6
17378253,https://github.com/DImuthuUpe/Tesseract-API,11,2,7,136761,4,7
18958269,https://github.com/mikegrb/Alfred-Audio-Device,11,2,5,261,3,5
18687493,https://github.com/SCIInstitute/ShapeWorksStudio,11,16,5,64275,4,5
19260634,https://github.com/EmirWeb/liason,11,6,4,2117,0,4
19064541,https://github.com/plantsandmachines/beta,11,5,4,4611,1,4
19404069,https://github.com/pkoperek/bytecode-presentation,11,0,0,2116,1,0
16716513,https://github.com/smholloway/do-it-for-all-of-us,11,2,4,169,0,4
19153461,https://github.com/ameli/lcs,11,4,5,5667,2,5
17343268,https://github.com/Boelroy/ArrowPopupWindows,11,5,15,114,0,15
19016679,https://github.com/focuslight/focuslight-validator,11,4,1,225,0,1
18879129,https://github.com/Moodstocks/moodstocks-api-clients,11,5,5,11,0,5
19064541,https://github.com/plantsandmachines/beta,11,5,4,4611,1,4
19220224,https://github.com/rvaughn/cvs-fast-export,11,3,4,165,3,4
16658598,https://github.com/umisama/golog,11,3,2,132,0,2
19260634,https://github.com/EmirWeb/liason,11,6,4,2117,0,4
16686944,https://github.com/embirico/basketball-object-tracker,11,2,1,29804,0,1
19404069,https://github.com/pkoperek/bytecode-presentation,11,0,0,2116,1,0
18677852,https://github.com/snipcart/snipcart-craft-webhooks-plugin,11,7,3,152,0,3
18766373,https://github.com/sysart/ansible-jenkins-docker,11,22,2,164,0,2
17343268,https://github.com/Boelroy/ArrowPopupWindows,11,5,15,114,0,15
18732298,https://github.com/joao-de-melo/jtwig-examples-old,11,10,4,149,1,4
16658598,https://github.com/umisama/golog,11,3,2,132,0,2
19260634,https://github.com/EmirWeb/liason,11,6,4,2117,0,4
16912210,https://github.com/frakbot/RomainGuyMuzei,11,4,5,28615,0,5
19075924,https://github.com/rjrodger/eraro,11,2,3,460,7,3
18766373,https://github.com/sysart/ansible-jenkins-docker,11,22,2,164,0,2
17457704,https://github.com/conradoplg/authenc,11,2,4,540,0,4
17343268,https://github.com/Boelroy/ArrowPopupWindows,11,5,15,114,0,15
16686944,https://github.com/embirico/basketball-object-tracker,11,2,1,29804,0,1
18958269,https://github.com/mikegrb/Alfred-Audio-Device,11,2,5,261,3,5
19083482,https://github.com/geodatagouv/csw-client,11,5,3,337,0,3
19153461,https://github.com/ameli/lcs,11,4,5,5667,2,5
18766373,https://github.com/sysart/ansible-jenkins-docker,11,22,2,164,0,2
19220224,https://github.com/rvaughn/cvs-fast-export,11,3,4,165,3,4
18677852,https://github.com/snipcart/snipcart-craft-webhooks-plugin,11,7,3,152,0,3
18687233,https://github.com/akhld/heartbleed,11,4,12,114,0,12
16861437,https://github.com/JeniT/boundaries,11,1,2,190264,0,2
19064541,https://github.com/plantsandmachines/beta,11,5,4,4611,1,4
18701857,https://github.com/mauroservienti/Conferences,11,3,5,9164,0,5
19075924,https://github.com/rjrodger/eraro,11,2,3,460,7,3
19316119,https://github.com/boomerdigital/spree_avatax_certified,11,11,46,10300,1,46
18687493,https://github.com/SCIInstitute/ShapeWorksStudio,11,16,5,64275,4,5
16716513,https://github.com/smholloway/do-it-for-all-of-us,11,2,4,169,0,4
17457704,https://github.com/conradoplg/authenc,11,2,4,540,0,4
19075924,https://github.com/rjrodger/eraro,11,2,3,460,7,3
18701857,https://github.com/mauroservienti/Conferences,11,3,5,9164,0,5
19195707,https://github.com/jbutewicz/Coursera-Functional-Programming-Principles-in-Scala,11,2,22,6424,0,22
19260634,https://github.com/EmirWeb/liason,11,6,4,2117,0,4
19220224,https://github.com/rvaughn/cvs-fast-export,11,3,4,165,3,4
19083482,https://github.com/geodatagouv/csw-client,11,5,3,337,0,3
18958269,https://github.com/mikegrb/Alfred-Audio-Device,11,2,5,261,3,5
16861437,https://github.com/JeniT/boundaries,11,1,2,190264,0,2
16716513,https://github.com/smholloway/do-it-for-all-of-us,11,2,4,169,0,4
19316119,https://github.com/boomerdigital/spree_avatax_certified,11,11,46,10300,1,46
18732298,https://github.com/joao-de-melo/jtwig-examples-old,11,10,4,149,1,4
19153461,https://github.com/ameli/lcs,11,4,5,5667,2,5
18736385,https://github.com/singlow/meteor-live-maps,11,4,5,9,4,5
16652332,https://github.com/Nilhcem/android-websocket-example,11,3,16,1104,0,16
19075924,https://github.com/rjrodger/eraro,11,2,3,460,7,3
16912210,https://github.com/frakbot/RomainGuyMuzei,11,4,5,28615,0,5
18701857,https://github.com/mauroservienti/Conferences,11,3,5,9164,0,5
18736385,https://github.com/singlow/meteor-live-maps,11,4,5,9,4,5
19083482,https://github.com/geodatagouv/csw-client,11,5,3,337,0,3
19291800,https://github.com/JElchison/encrypt-tool,11,2,4,15,2,4
17457704,https://github.com/conradoplg/authenc,11,2,4,540,0,4
16861437,https://github.com/JeniT/boundaries,11,1,2,190264,0,2
16658598,https://github.com/umisama/golog,11,3,2,132,0,2
19026122,https://github.com/szdiy/duo,11,9,5,12331,13,5
16716513,https://github.com/smholloway/do-it-for-all-of-us,11,2,4,169,0,4
19016679,https://github.com/focuslight/focuslight-validator,11,4,1,225,0,1
18677852,https://github.com/snipcart/snipcart-craft-webhooks-plugin,11,7,3,152,0,3
19316119,https://github.com/boomerdigital/spree_avatax_certified,11,11,46,10300,1,46
19220224,https://github.com/rvaughn/cvs-fast-export,11,3,4,165,3,4
