ids,name_repo,lenguaje,stargazers,watchers,forks,tamaño_kb,issues,network_size,star_q1,star_gq2,star_gq3,star_gq4,fork_q1,fork_gq2,fork_gq3,fork_gq4
24815453,https://github.com/hokaccha/sprinkler,Go,50,2,0,520,0,0,34.75,1.1367,1.1266,1.1236,0,0,0,0
20676037,https://github.com/rstacruz/pre.js,JavaScript,52,5,0,53,2,0,35.25,1.1489,1.1296,1.1366,0,0,0,0
116265184,https://github.com/icebreaker/parsello,C,44,4,0,71,0,0,23.75,1.3684,1.1769,1.1503,0,0,0,0
24593822,https://github.com/s4y/fancyfocus,JavaScript,40,4,0,280,0,0,19.0,1.6316,1.129,1.1429,0,0,0,0
134693886,https://github.com/lukego/easynic,,43,19,0,5,14,0,20.75,1.4217,1.2288,1.1862,0,0,0,0
30088051,https://github.com/lutherism/GraphNoQL,JavaScript,66,9,0,224,0,0,25.75,1.4951,1.3831,1.2394,0,0,0,0
57558462,https://github.com/doublesecretagency/craft-inventory,PHP,66,2,0,308,4,0,35.75,1.2727,1.2363,1.1733,0,0,0,0
186597250,https://github.com/SystangoTechnologies/serverless-node-simple-messaging,JavaScript,74,2,0,9,1,0,7.0,5.0,2.0286,1.0423,0,0,0,0
148261932,https://github.com/Ao-Lee/AveragePrecision,Python,81,2,0,143,1,0,28.75,1.7565,1.3317,1.2045,0,0,0,0
443606268,https://github.com/Lumince/Dolphin-MMJR2,C++,69,6,0,385902,1,0,24.0,1.625,1.4103,1.2545,0,0,0,0
307347741,https://github.com/bangerang/lowmad,Swift,113,5,0,306,0,0,82.0,1.1341,1.1183,1.0865,0,0,0,0
115632817,https://github.com/WisestCoder/beautiful-scenery,,111,0,0,43,0,0,35.5,1.8732,1.3609,1.2265,0,0,0,0
421548296,https://github.com/chrisxu333/smtTP,C++,89,1,1,7,0,1,41.75,1.4251,1.2311,1.215,0,0,0,0
82697273,https://github.com/yeun/open-arrow,Shell,96,4,0,154,1,0,40.25,1.4783,1.2899,1.2508,0,0,0,0
457685505,https://github.com/zhuzixian520/yii2-meilisearch,PHP,124,1,0,234,0,0,74.5,1.2483,1.1774,1.1324,0,0,0,0
169666824,https://github.com/4coder-editor/4coder,,124,12,1,2,111,1,46.75,1.5294,1.3462,1.2883,0,0,0,0
107388643,https://github.com/hzlshen/ES6-learn,JavaScript,146,0,0,32,0,0,53.0,1.5472,1.3293,1.3394,0,0,0,0
51344906,https://github.com/joemiller/creds,Shell,125,6,0,48,3,0,76.0,1.3684,1.1058,1.087,0,0,0,0
273696993,https://github.com/hpdang/merge-conflicts,HTML,142,2,0,1206,6,0,26.0,2.5769,1.6269,1.3028,0,0,0,0
331620219,https://github.com/uhyo/lightwindcss,TypeScript,153,4,1,157,1,1,109.75,1.1253,1.1356,1.0909,0,0,0,0
31509508,https://github.com/zhouzi/awesome-perceived-performance,,174,15,1,763,4,1,64.5,1.9457,1.2092,1.1466,0,0,0,0
332876513,https://github.com/danielebruneo/remarkable2-hacks,,171,21,2,85,1,2,78.5,1.3885,1.3028,1.2042,1.25,1.2,1.1667,1.1429
287297575,https://github.com/nvim-lua/wishlist,,160,42,0,18,32,0,51.0,1.8235,1.3602,1.2648,0,0,0,0
107212341,https://github.com/aizk/z,Go,177,2,1,13,0,1,65.75,1.6046,1.3294,1.262,0,0,0,0
61442665,https://github.com/facundoolano/promise-log,JavaScript,150,2,1,4,0,1,89.5,1.4469,1.0907,1.0619,0,0,0,0
86494007,https://github.com/marta-file-manager/marta-issues,,206,8,0,148,291,0,59.0,1.8983,1.4196,1.2956,0,0,0,0
323072930,https://github.com/Lauriat/funct,Python,183,5,2,138,0,2,160.0,1.075,1.032,1.031,1.25,1.2,1.1667,1.1429
423260793,https://github.com/davestewart/nuxt-areas,JavaScript,204,3,0,554,4,0,151.25,1.124,1.0868,1.1042,0,0,0,0
342028554,https://github.com/wheatjs/vite-plugin-vue-gql,TypeScript,185,4,3,475,2,3,88.25,1.4618,1.2151,1.1802,1.5,1.3333,1.25,1.2
121116857,https://github.com/threepointone/freezus,JavaScript,188,10,3,173,0,3,139.5,1.1685,1.1074,1.0416,1.5,1.3333,1.25,1.2
116883257,https://github.com/arthuredelstein/privacytests.org,HTML,248,11,4,119813,62,4,83.75,1.9045,1.2994,1.1966,1.75,1.4286,1.3,1.2308
244303110,https://github.com/wvanlint/twf,Go,221,4,5,636,6,5,150.25,1.1947,1.1184,1.1009,2.0,1.5,1.3333,1.25
362949706,https://github.com/haveyoudebuggedit/gotestfmt,Go,211,2,3,377,4,3,69.0,2.5797,1.0955,1.0821,1.5,1.3333,1.25,1.2
135146984,https://github.com/u3u/prettier-chrome,TypeScript,221,6,4,8900,38,4,147.0,1.1293,1.2169,1.0941,1.75,1.4286,1.3,1.2308
103087342,https://github.com/XiqingLiu/JesMVP,Java,222,1,2,184,0,2,81.5,1.5706,1.3945,1.2437,1.25,1.2,1.1667,1.1429
485145664,https://github.com/p-ranav/fccf,C++,283,4,10,299,5,10,229.0,1.1419,1.0574,1.0235,4.0,1.5,1.3333,1.25
225160577,https://github.com/LeonHartley/Coerce-rs,Rust,244,8,5,849,1,5,202.25,1.0754,1.0609,1.0574,2.75,1.2727,1.2143,1.1765
137685157,https://github.com/vilhalmer/oguri,C,252,6,3,1186,19,3,67.5,1.8667,1.496,1.3369,1.5,1.3333,1.25,1.2
228067692,https://github.com/alexdredmon/cuteuid,Python,241,3,3,33,2,3,212.5,1.0659,1.032,1.031,1.5,1.3333,1.25,1.2
104512203,https://github.com/vaporberlin/vaporschool,,262,39,2,267,0,2,82.25,1.8298,1.3837,1.2581,1.25,1.2,1.1667,1.1429
39277038,https://github.com/whosonfirst-data/whosonfirst-data,,287,24,5,32,483,5,87.0,1.7126,1.4899,1.2928,2.0,1.5,1.3333,1.25
154956785,https://github.com/notomo/gesture.nvim,Lua,277,5,1,450,0,1,88.75,1.7127,1.403,1.2989,0,0,0,0
191300191,https://github.com/bigdongdongCLUB/newGCP,,291,25,0,0,3,0,94.5,2.0317,1.3099,1.1571,0,0,0,0
275096677,https://github.com/lxgw/yozai-font,,301,10,3,140957,2,3,65.5,2.8092,1.3315,1.2286,1.5,1.3333,1.25,1.2
266194816,https://github.com/junglejs/junglejs,JavaScript,277,13,5,1093,21,5,109.0,1.6606,1.2983,1.1787,2.0,1.5,1.3333,1.25
