ids,name_repo,lenguaje,stargazers,watchers,forks,tamaño_kb,issues,network_size,star_q1,star_gq2,star_gq3,star_gq4,fork_q1,fork_gq2,fork_gq3,fork_gq4
444718437,https://github.com/proofrock/ws4sqlite,Go,331,4,6,149,1,6,289.0,1.0519,1.0559,1.0312,4.5,1.1111,1.1,1.0909
209924012,https://github.com/amfoss/internal-hackathon,,332,3,2,12,0,2,106.0,1.3915,1.9102,1.1748,1.25,1.2,1.1667,1.1429
474667786,https://github.com/wireshape/whitepaper,,331,11,1,6108,1,1,151.0,1.8742,1.083,1.0799,0,0,0,0
328314676,https://github.com/mvrozanti/dte,Python,305,7,3,247,2,3,49.75,5.0653,1.1637,1.0401,2.25,1.1111,1.1,1.0909
130491150,https://github.com/lastmjs/wasm-metal,TypeScript,317,13,6,141,21,6,68.5,1.7956,1.3537,1.9039,2.25,1.5556,1.3571,1.2632
162175821,https://github.com/JohnSundell/Shapeshift,Swift,336,13,8,4,0,8,273.0,1.0733,1.0819,1.0599,2.5,2.0,1.3,1.2308
297045708,https://github.com/FormidableLabs/use-editable,TypeScript,363,37,6,179,8,6,234.0,1.2436,1.128,1.1059,2.25,1.5556,1.3571,1.2632
367590003,https://github.com/theapache64/create-compose-app,Kotlin,372,3,9,24742,1,9,184.75,1.5426,1.1798,1.1063,3.75,1.4667,1.3182,1.2414
221143688,https://github.com/muan/paint-github,JavaScript,360,5,8,33,0,8,242.0,1.1198,1.0775,1.2329,2.75,1.6364,1.3889,1.28
158760956,https://github.com/yuchi/hooks.macro,JavaScript,344,8,4,832,17,4,172.0,1.5058,1.1467,1.1582,1.75,1.4286,1.3,1.2308
335090098,https://github.com/ergulkizilkaya/ReCapProject,C#,387,14,10,200,1,10,328.5,1.0807,1.0451,1.0431,4.0,1.5,1.3333,1.25
134191022,https://github.com/amfoss/android-workshop-summer-2018,Java,396,9,3,28145,1,3,73.75,2.6237,1.7222,1.1853,1.5,1.3333,1.25,1.2
127042610,https://github.com/rust-cli/thunder,Rust,360,10,6,48,10,6,249.5,1.1764,1.1235,1.0917,2.25,1.5556,1.3571,1.2632
136994267,https://github.com/thosakwe/t2b,C++,374,11,9,1933,8,9,325.5,1.0614,1.0441,1.0367,4.5,1.4444,1.1923,1.1613
