ids,name_repo,lenguaje,stargazers,watchers,forks,tamaño_kb,issues,network_size,star_q1,star_gq2,star_gq3,star_gq4,fork_q1,fork_gq2,fork_gq3,fork_gq4
27082237,https://github.com/fossasia/directory.api.fossasia.net,Python,1536,14,49,193,3,49,516.75,1.8994,1.4134,1.1793,29.5,1.7966,1.4434,1.281
5202066,https://github.com/lelylan/lelylan,,1515,63,93,184,21,93,863.0,1.3314,1.2158,1.156,60.5,1.7025,1.3932,1.2962
7401754,https://github.com/fossasia/pslab-case,,1519,26,6,20904,2,6,541.5,1.7978,1.4109,1.1787,6.0,1.3333,1.25,1.2
29779480,https://github.com/fossasia/perspektive89.com,,1513,11,2,0,3,2,594.25,1.6407,1.4028,1.1793,2.5,1.2,1.1667,1.1429
67226573,https://github.com/Pyroh/Fluor,Swift,1549,29,93,12339,26,93,926.5,1.3103,1.1767,1.1544,56.5,1.7876,1.4208,1.2962
183909168,https://github.com/ivanvorobei/SPAlert,Swift,1576,15,91,12327,0,91,676.0,1.4246,1.4133,1.2314,56.0,1.6786,1.4043,1.3333
257526212,https://github.com/Flow-Launcher/Flow.Launcher,C#,1575,28,75,79154,174,75,321.0,1.6293,1.5621,2.0502,37.0,2.0,1.473,1.3761
54906960,https://github.com/antontarasenko/smq,TSQL,1551,55,73,120,2,73,1344.0,1.0379,1.0333,1.1453,85.5,1.2047,1.1699,1.195
46198865,https://github.com/BSVino/JaiPrimer,,1554,158,78,59,14,78,549.75,1.8081,1.3536,1.2293,40.0,1.95,1.4872,1.3448
67892585,https://github.com/ok-borg/borg,Go,1544,40,59,30263,14,59,1212.5,1.1225,1.115,1.0834,37.0,1.8378,1.3676,1.2688
33731954,https://github.com/mblode/marx,CSS,1572,30,104,1055,7,104,985.5,1.2131,1.2114,1.1545,76.0,1.5921,1.3388,1.2407
148708393,https://github.com/microsoft/onnxjs,TypeScript,1601,42,128,5127,85,128,889.75,1.3105,1.2395,1.177,47.5,2.2737,1.5417,1.3514
18667134,https://github.com/tjmehta/101,JavaScript,1564,31,87,542,21,87,1352.75,1.0959,1.0639,1.055,77.5,1.3806,1.2944,1.213
