ids,name_repo,lenguaje,stargazers,watchers,forks,tamaño_kb,issues,network_size,star_q1,star_gq2,star_gq3,star_gq4,fork_q1,fork_gq2,fork_gq3,fork_gq4
162175821,https://github.com/JohnSundell/Shapeshift,Swift,336,13,8,4,0,8,273.0,1.0733,1.0819,1.0599,2.5,2.0,1.3,1.2308
297045708,https://github.com/FormidableLabs/use-editable,TypeScript,363,37,6,179,8,6,234.0,1.2436,1.128,1.1059,2.25,1.5556,1.3571,1.2632
367590003,https://github.com/theapache64/create-compose-app,Kotlin,372,3,9,24742,1,9,184.75,1.5426,1.1798,1.1063,3.75,1.4667,1.3182,1.2414
221143688,https://github.com/muan/paint-github,JavaScript,360,5,8,33,0,8,242.0,1.1198,1.0775,1.2329,2.75,1.6364,1.3889,1.28
158760956,https://github.com/yuchi/hooks.macro,JavaScript,344,8,4,832,17,4,172.0,1.5058,1.1467,1.1582,1.75,1.4286,1.3,1.2308
335090098,https://github.com/ergulkizilkaya/ReCapProject,C#,387,14,10,200,1,10,328.5,1.0807,1.0451,1.0431,4.0,1.5,1.3333,1.25
134191022,https://github.com/amfoss/android-workshop-summer-2018,Java,396,9,3,28145,1,3,73.75,2.6237,1.7222,1.1853,1.5,1.3333,1.25,1.2
127042610,https://github.com/rust-cli/thunder,Rust,360,10,6,48,10,6,249.5,1.1764,1.1235,1.0917,2.25,1.5556,1.3571,1.2632
136994267,https://github.com/thosakwe/t2b,C++,374,11,9,1933,8,9,325.5,1.0614,1.0441,1.0367,4.5,1.4444,1.1923,1.1613
179408313,https://github.com/zilch/type-route,TypeScript,363,6,9,21546,5,9,147.75,1.9052,1.1572,1.1144,3.5,1.5714,1.3182,1.2414
300105716,https://github.com/smolck/uivonim,TypeScript,438,7,7,9406,26,7,141.25,1.8053,1.3402,1.2816,2.5,1.6,1.375,1.2727
237749584,https://github.com/icyphox/shlide,Shell,417,8,10,57,0,10,327.5,1.0977,1.0807,1.0734,4.5,1.4444,1.2692,1.2121
456956890,https://github.com/reactwg/react-native-new-architecture,,522,113,3,5,0,3,333.0,1.3694,1.0822,1.0578,1.5,1.3333,1.25,1.2
155156974,https://github.com/davidgilbertson/react-recollect,TypeScript,413,6,10,1794,14,10,173.75,1.2777,1.6149,1.152,4.0,1.5,1.3333,1.25
473044869,https://github.com/antfu/vscode-smart-clicks,TypeScript,426,2,5,247,5,5,389.5,1.0424,1.0246,1.024,3.5,1.1429,1.125,1.1111
159088282,https://github.com/modernserf/zebu,TypeScript,428,2,4,2687,15,4,294.75,1.1908,1.1546,1.0561,1.75,1.4286,1.3,1.2308
432637329,https://github.com/p-e-w/savage,Rust,449,7,9,197,10,9,409.0,1.044,1.0316,1.0193,4.25,1.4118,1.2917,1.1613
173512179,https://github.com/norbusan/debian-pycson,Python,434,2,1,23,0,1,123.5,2.1619,1.2809,1.269,0,0,0,0
173508966,https://github.com/norbusan/debian-speg,Python,436,2,1,16,0,1,124.5,2.1526,1.2799,1.2711,0,0,0,0
473356570,https://github.com/ehmicky/wild-wild-path,JavaScript,428,2,6,1091,0,6,195.25,1.79,1.0565,1.1591,1.75,2.0,1.5,1.1429
434431896,https://github.com/stevearc/dressing.nvim,Lua,487,3,9,89,3,9,257.5,1.2835,1.233,1.1951,3.5,1.5714,1.3182,1.2414
171271078,https://github.com/octobanana/fltrdr,C++,478,5,9,1506,4,9,395.25,1.0715,1.0667,1.0581,5.25,1.2381,1.1923,1.1613
253399036,https://github.com/kazhala/dotbare,Shell,471,9,8,300,3,8,208.5,1.4628,1.2721,1.2139,2.75,1.6364,1.3889,1.28
364135020,https://github.com/jamii/dida,Zig,465,22,11,556,1,11,347.75,1.1344,1.0913,1.0801,4.25,1.7647,1.2333,1.1892
362589347,https://github.com/stenh0use/docker-machine-for-mac,Makefile,484,5,8,53,0,8,446.5,1.0347,1.0271,1.02,5.0,1.2,1.1667,1.1429
151409356,https://github.com/yabeda-rb/yabeda,Ruby,488,8,15,147,3,15,258.0,1.3062,1.2226,1.1845,4.5,1.7778,1.4375,1.3043
110393540,https://github.com/dschep/proven,JavaScript,509,12,16,1987,12,16,431.0,1.0789,1.0495,1.043,7.0,1.4286,1.3,1.2308
482145892,https://github.com/sirwart/ripsecrets,Rust,498,3,12,58,4,12,414.0,1.1449,1.0316,1.0184,5.25,1.3333,1.4643,1.1707
346036805,https://github.com/tBaxter/questions-for-employers,,520,16,17,190,0,17,202.25,1.6613,1.4062,1.1005,5.0,1.8,1.3333,1.3333
317667374,https://github.com/hush-shell/hush,Rust,514,9,14,494,8,14,16.5,25.2727,1.2026,1.0249,6.0,1.4167,1.3529,1.2174
20591124,https://github.com/shinh/sedlisp,Common Lisp,533,15,16,15,0,16,359.25,1.126,1.1836,1.1133,7.75,1.3548,1.2619,1.2075
375884407,https://github.com/djanderson/aho,Awk,525,5,9,1044,1,9,483.0,1.0362,1.0255,1.0229,5.75,1.2174,1.1786,1.0909
12368370,https://github.com/krainboltgreene/hexpress,Ruby,517,20,17,579,6,17,417.5,1.0778,1.0744,1.0693,8.0,1.375,1.2727,1.2143
4023923,https://github.com/hraberg/deuce,Clojure,513,67,14,16022,0,14,252.75,1.3195,1.3111,1.1732,4.25,1.7647,1.4333,1.3023
144483539,https://github.com/Android500/AwesomeDrawer,Java,521,3,17,8052,1,17,467.75,1.0422,1.0344,1.0312,9.5,1.2632,1.2083,1.1724
330504594,https://github.com/jevakallio/jest-clean-console-reporter,JavaScript,543,3,8,429,6,8,471.0,1.0701,1.0437,1.0323,5.0,1.2,1.1667,1.1429
135855365,https://github.com/lukeed/dimport,JavaScript,555,5,5,48,5,5,383.5,1.296,1.0674,1.0462,2.0,1.5,1.3333,1.25
379939977,https://github.com/sstadick/hck,Rust,543,5,14,252,3,14,462.5,1.0573,1.0583,1.0493,7.0,1.2857,1.2222,1.2727
19618487,https://github.com/carlosdcastillo/vim-mode,CoffeeScript,567,35,19,857,24,19,182.0,1.7527,1.4295,1.2434,5.25,1.8095,1.4474,1.3091
318049537,https://github.com/sblom/RegExtract,C#,607,8,10,130,4,10,415.75,1.276,1.0844,1.0552,4.5,1.4444,1.2692,1.2121
89494386,https://github.com/scf4/styled-map,JavaScript,593,6,15,656,0,15,100.5,4.204,1.2201,1.1503,4.5,1.7778,1.4375,1.3043
314868163,https://github.com/mhx/dwarfs,C++,592,9,23,2507,16,23,437.0,1.0824,1.1438,1.0943,13.75,1.2,1.1667,1.1429
143962408,https://github.com/rimeto/ts-optchain,TypeScript,582,21,17,158,17,17,116.5,2.7039,1.5381,1.2012,5.0,1.8,1.4444,1.3077
441005943,https://github.com/mintlify/writer,TypeScript,631,2,22,9963,17,22,285.0,1.4386,1.2683,1.2135,6.0,1.8333,1.4545,1.375
268162878,https://github.com/tim-koehler/Helm-Intellisense,TypeScript,585,2,17,2792,4,17,129.5,2.0965,1.5534,1.3871,7.25,1.4483,1.3095,1.2364
261072457,https://github.com/kripod/otion,TypeScript,618,4,22,3362,18,22,359.25,1.2596,1.237,1.1041,7.5,1.7333,1.3462,1.2571
