ids,name_repo,lenguaje,stargazers,watchers,forks,tamaño_kb,issues,network_size,star_q1,star_gq2,star_gq3,star_gq4,fork_q1,fork_gq2,fork_gq3,fork_gq4
25799269,https://github.com/moscoper/Moscoper,Java,0,1,37,47337,0,37,0,0,0,0,1.75,9.1429,1.9844,1.1654
51028758,https://github.com/tgaff/angular_hangman_lab,HTML,0,0,42,122,1,42,0,0,0,0,0,0,0,0
35172956,https://github.com/LockyStewart/image-analysis,CSS,0,1,42,825,1,42,0,0,0,0,2.0,2.0,1.25,1.2
43044683,https://github.com/benevolentprof/inf1340_2015_asst1,Python,0,4,35,868,1,35,0,0,0,0,27.0,1.0741,1.069,1.0323
19524152,https://github.com/Soham-Village-College/code-change-test,Python,0,2,39,316,25,39,0,0,0,0,28.0,1.3571,1.0132,1.013
97448199,https://github.com/loop-godong/loopchain,,0,0,62,2,0,62,0,0,0,0,20.0,1.65,1.4545,1.2917
32945906,https://github.com/suwebdev/wats1020-arrays-functions,JavaScript,0,9,69,124,0,69,0,0,0,0,15.0,2.4,1.375,1.3939
73721783,https://github.com/learn-co-students/javascript-intro-to-functions-lab-cb-000,JavaScript,0,16,69,121,73,69,0,0,0,0,20.75,1.8072,1.42,1.2958
42740064,https://github.com/littlea1/quant_at,Python,0,1,73,1028,0,73,0,0,0,0,18.0,1.9444,1.4857,1.3462
155221485,https://github.com/rudeboybert/webpage,,0,1,69,1601,1,69,0,0,0,0,58.25,1.073,1.052,1.0494
60241253,https://github.com/gcapes/manchester-papers,,0,2,105,119,2,105,0,0,0,0,37.75,2.053,1.2161,1.1141
100927530,https://github.com/AnthonySorise/counterApp,HTML,0,0,91,1,0,91,0,0,0,0,26.75,1.9252,1.3689,1.2908
242858497,https://github.com/kiei451-winter2020/software-design,Ruby,0,3,94,4,0,94,0,0,0,0,75.75,1.1023,1.0629,1.0479
102619125,https://github.com/IACS-CS-207/playground,,0,2,110,2,1,110,0,0,0,0,32.0,2.9375,1.1064,1.0577
32534598,https://github.com/mto-lab/lab3_2,Java,0,2,115,7,0,115,0,0,0,0,36.0,1.75,1.3413,1.3609
86393215,https://github.com/joaoasrosa/quickstart-magento,Shell,1,0,125,2477,0,125,0,0,0,0,25.5,1.9608,1.49,1.3154
101686468,https://github.com/SI-364-F17/HW1,Python,0,2,120,3,0,120,0,0,0,0,16.25,1.3231,1.1047,1.0947
149598954,https://github.com/JoinCODED/JSEpisode1,JavaScript,0,4,132,716,7,132,0,0,0,0,30.0,2.2333,1.5075,1.2376
132437752,https://github.com/iis-io-team/powp_rhymers_bridge,Java,0,5,121,744,0,121,0,0,0,0,5.75,1.3043,1.2333,1.1892
145731930,https://github.com/ashtonknoblock/backend-iss-location-assessment,Python,0,0,149,88,0,149,0,0,0,0,34.25,1.8832,1.6085,1.4169
104795104,https://github.com/acgd-webdev-3/fancy-hover-boxes,CSS,0,2,170,2161,0,170,0,0,0,0,95.0,1.5053,1.1119,1.0692
73720418,https://github.com/learn-co-students/my_all-cb-000,Ruby,0,15,155,15,187,155,0,0,0,0,47.0,1.766,1.4337,1.3025
350663523,https://github.com/TdP-2021/GestoreCorsi,Java,0,1,166,50,0,166,0,0,0,0,132.25,1.1078,1.0666,1.0624
144417159,https://github.com/AdaGold/git-clone-practice,,0,3,179,1,0,179,0,0,0,0,2.5,1.6,1.375,1.4545
101887881,https://github.com/UW-Madison-DataScience/countries,,0,6,155,277,0,155,0,0,0,0,69.0,1.7681,1.1803,1.0556
86097041,https://github.com/acgd-webdev-4/javascript-less-carousel,,0,2,193,3260,0,193,0,0,0,0,94.0,1.4255,1.3358,1.0782
205491095,https://github.com/rclc/python-project,Less,0,0,201,20,0,201,0,0,0,0,50.0,2.28,1.4912,1.1765
66832411,https://github.com/progedu/webapp-curriculum-1002-3,Scala,0,6,180,0,162,180,0,0,0,0,45.25,1.9779,1.5168,1.326
93383292,https://github.com/kirbyzhu/gogo-server,,0,2,194,0,0,194,0,0,0,0,4.0,1.75,1.4286,1.3
82675712,https://github.com/spansare/digitalbanking-cardsservice,Java,0,1,185,39,0,185,0,0,0,0,35.5,2.7042,1.5833,1.1974
76374751,https://github.com/learn-co-students/ruby-object-initialize-lab-cb-gh-000,Ruby,0,16,215,9,411,215,0,0,0,0,61.0,1.8852,1.4174,1.3067
81013534,https://github.com/acgd-webdev-4/ecommerce-pattern-library,,0,2,218,2,0,218,0,0,0,0,87.75,1.6581,1.1581,1.2938
203262888,https://github.com/ServiceNowEvents/NAW19-CCW1547-app,,0,4,227,366,0,227,0,0,0,0,6.5,17.2308,1.9665,1.0216
122781093,https://github.com/appdev-projects/very-best,Ruby,0,2,211,119,17,211,0,0,0,0,61.0,1.4918,1.5659,1.3333
134450492,https://github.com/AllStarCodeOrg/week3.day1.moreDOM-and-Events,HTML,0,5,212,44100,0,212,0,0,0,0,100.25,1.3416,1.277,1.2344
163556792,https://github.com/joeblank/debug-lecture-helper,JavaScript,0,1,260,406,0,260,0,0,0,0,70.75,1.576,1.1637,1.1561
70741774,https://github.com/core-methods-in-edm/assignment2,,0,2,249,120,109,249,0,0,0,0,42.0,2.2381,1.7766,1.485
51174057,https://github.com/learn-co-students/devise_pundit_lab-v-000,Ruby,0,13,266,90,282,266,0,0,0,0,69.5,2.0432,1.4261,1.3136
180890033,https://github.com/learn-co-students/html-riyadh-blog-v-000,Ruby,0,28,242,4897,245,242,0,0,0,0,81.25,1.7169,1.414,1.2269
251159511,https://github.com/CISC275-teaching-materials/cisc275-fork-lab,,0,1,238,4,193,238,0,0,0,0,70.0,1.4143,1.6919,1.0985
155434897,https://github.com/fahy6879/username,Shell,0,2,277,0,0,277,0,0,0,0,73.25,2.2457,1.5228,1.1018
37510845,https://github.com/JalenOng/sinatra-web-server,Ruby,0,2,278,90,0,278,0,0,0,0,2.75,2.0,2.2273,1.1429
429207280,https://github.com/Codecademy/practice-rebase-off-platform-project,,0,7,542,12,2,542,0,0,0,0,97.0,2.8144,1.5256,1.3013
211884522,https://github.com/learn-co-students/fewpjs-iterators-map-lab-online-web-sp-000,JavaScript,0,29,296,61,290,296,0,0,0,0,77.0,1.961,1.457,1.3409
317449173,https://github.com/Thinkful-Ed/starter-node-express-postgresql,JavaScript,0,10,323,47,1,323,0,0,0,0,87.75,1.8632,1.5306,1.2907
14662233,https://github.com/jackregnart/core,Ruby,0,0,303,2494,0,303,0,0,0,0,71.0,2.0563,1.5068,1.3227
185819538,https://github.com/learn-co-curriculum/css-essentials-my-little-rainbow-lab,Ruby,0,26,307,81,3,307,0,0,0,0,95.0,2.0211,1.349,1.1853
63705520,https://github.com/learn-co-students/js-jquery-event-listeners-readme-js-intro-000,JavaScript,0,16,308,54,363,308,0,0,0,0,80.5,1.9379,1.484,1.3261
168549712,https://github.com/bloominstituteoftechnology/webtesting-iv-guided,JavaScript,0,2,318,114,1,318,0,0,0,0,147.0,1.4694,1.3796,1.0336
51085042,https://github.com/learn-co-students/js-ajax-callbacks-lab-v-000,JavaScript,0,13,301,116,312,301,0,0,0,0,81.0,1.9506,1.4241,1.3378
454685269,https://github.com/nus-cs2103-AY2122S2/tp,Java,0,0,335,12898,59,335,0,0,0,0,18.75,2.08,1.4231,1.0811
150129355,https://github.com/learn-co-students/routing-nested-resources-lab-online-web-sp-000,Ruby,0,24,344,147,341,344,0,0,0,0,83.25,2.0,1.53,1.3503
150129338,https://github.com/learn-co-students/refactoring-views-with-helpers-reading-online-web-sp-000,Ruby,0,24,342,63,344,342,0,0,0,0,84.0,2.0714,1.477,1.3307
129857119,https://github.com/appdev-projects/omnicalc-actions-old,Ruby,0,3,333,126,0,333,0,0,0,0,99.75,1.7544,1.3229,1.3823
118690522,https://github.com/appdev-projects/ruby-scripts,HTML,0,3,337,133,1,337,0,0,0,0,116.0,1.3793,1.4625,1.3761
99361680,https://github.com/TopekoX/books,,0,1,376,2031959,0,376,0,0,0,0,103.0,1.835,1.4127,1.3109
150129086,https://github.com/learn-co-students/sinatra-secure-password-lab-online-web-sp-000,Ruby,0,23,376,38,371,376,0,0,0,0,92.25,2.0,1.5271,1.3345
150129069,https://github.com/learn-co-students/sinatra-ar-crud-lab-online-web-sp-000,Ruby,0,23,387,87,364,387,0,0,0,0,87.25,2.1203,1.5176,1.3749
150129155,https://github.com/learn-co-students/rails-hello-world-lab-online-web-sp-000,Ruby,0,24,366,90,357,366,0,0,0,0,84.75,2.0826,1.5822,1.3107
21478993,https://github.com/learn-co-curriculum/flatiron-bnb-associations,Ruby,0,21,372,90,0,372,0,0,0,0,114.5,1.9389,1.3671,1.2257
9704145,https://github.com/minima/mopub-ios-sdk,Objective-C,0,1,407,69989,0,407,0,0,0,0,96.5,2.0622,1.4899,1.3187
120499141,https://github.com/appdev-projects/photogram-golden-7,Ruby,0,3,420,89,0,420,0,0,0,0,142.0,1.5986,1.4912,1.1905
105313111,https://github.com/r0tiart/js-dom-and-events-hide-and-seek-lab-v-000,JavaScript,0,1,416,11,1,416,0,0,0,0,107.75,1.8608,1.5224,1.3595
48017184,https://github.com/progedu/todo,JavaScript,0,4,398,13,2,398,0,0,0,0,97.0,1.9588,1.6263,1.288
150117150,https://github.com/learn-co-students/translating-orm-to-ar-online-web-sp-000,Ruby,0,24,406,18,408,406,0,0,0,0,93.0,2.043,1.5947,1.3399
122270470,https://github.com/DesignAtLarge/lab2,HTML,0,4,425,4049,1,425,0,0,0,0,15.0,12.4,1.0645,2.1414
363198952,https://github.com/learn-co-curriculum/phase-3-ruby-oo-inheritance-inheritance-lab,Ruby,0,21,588,18,0,588,0,0,0,0,163.5,1.7187,1.5196,1.3747
150128798,https://github.com/learn-co-students/css-issue-bot-9000-online-web-sp-000,Ruby,0,25,435,767,442,435,0,0,0,0,100.0,2.19,1.516,1.3102
387455132,https://github.com/learn-co-curriculum/phase-3-active-record-associations-one-to-many,Ruby,0,21,606,21,0,606,0,0,0,0,152.5,1.918,1.6197,1.277
171329934,https://github.com/sergey-guchok-study/sudoku,JavaScript,0,1,432,7,0,432,0,0,0,0,130.75,1.4455,1.8042,1.261
143306565,https://github.com/learn-co-students/react-props-movie-lab-v-000,JavaScript,0,24,472,25835,468,472,0,0,0,0,165.0,1.7212,1.3451,1.2356
67624670,https://github.com/INFO-201/m3-markdown,,1,1,475,240,1,475,0,0,0,0,68.0,1.6397,1.0336,1.0325
82716158,https://github.com/learn-co-students/my-select-prework,Ruby,0,16,460,11,511,460,0,0,0,0,101.75,2.1376,1.6069,1.3162
143306589,https://github.com/learn-co-students/react-simple-state-lab-v-000,JavaScript,0,24,449,496,453,449,0,0,0,0,137.5,1.8945,1.3829,1.2436
82716041,https://github.com/learn-co-students/say-hello-ruby-prework,Ruby,0,16,465,12,491,465,0,0,0,0,107.5,2.0884,1.5791,1.3089
210352872,https://github.com/agustinfrancesconi/mp-ecommerce-nodejs,CSS,1,1,490,3557,5,490,0,0,0,0,8.0,2.4375,1.2564,1.1837
150116481,https://github.com/learn-co-students/triangle-classification-online-web-sp-000,Ruby,0,24,505,29,500,505,0,0,0,0,120.0,2.0333,1.5287,1.3539
279816981,https://github.com/tvaidotas/FlaskAppBasic,Python,0,1,544,1,30,544,0,0,0,0,134.5,2.0818,1.4589,1.2827
81527132,https://github.com/uwi-info3180/info3180-lab4-starter,JavaScript,0,2,497,670,0,497,0,0,0,0,125.0,1.688,1.4858,1.5853
143306530,https://github.com/learn-co-students/npm-lab-v-000,JavaScript,0,24,498,73,488,498,0,0,0,0,170.75,1.7892,1.3363,1.2174
47202160,https://github.com/learn-co-curriculum/sinatra-ar-crud-lab,Ruby,1,22,540,101,5,540,0,0,0,0,129.0,2.4884,1.4595,1.1526
189662458,https://github.com/learn-co-students/programming-univbasics-4-nested-hashes-lab-online-web-prework,Ruby,0,28,523,19,514,523,0,0,0,0,114.5,2.524,1.5917,1.137
