ids,name_repo,lenguaje,stargazers,watchers,forks,tamaño_kb,issues,network_size,star_q1,star_gq2,star_gq3,star_gq4,fork_q1,fork_gq2,fork_gq3,fork_gq4
2276340,https://github.com/bkeepers/gaskit,JavaScript,915,21,49,467,3,49,620.5,1.2071,1.1208,1.0899,14.0,1.8571,1.4231,1.3243
30102538,https://github.com/dempseyatgithub/BuildSettingExtractor,Objective-C,930,22,48,2994,16,48,203.75,2.1963,1.6453,1.2632,13.25,1.8491,1.5,1.3061
363529166,https://github.com/sindrets/diffview.nvim,Lua,928,7,18,1093,10,18,380.25,1.4767,1.317,1.2549,5.25,1.8095,1.4474,1.3091
152661983,https://github.com/tonybaloney/wily,Python,903,24,49,6114,28,49,321.25,1.6078,1.3509,1.2942,12.75,1.9216,1.4796,1.3241
83734111,https://github.com/spacejam/tla-rust,TLA,921,45,19,745,1,19,604.5,1.1861,1.1555,1.1116,7.0,1.5714,1.3636,1.2667
59150440,https://github.com/BalestraPatrick/ParticlesLoadingView,Swift,949,16,44,252,1,44,627.75,1.1836,1.1443,1.1161,16.75,1.5224,1.3824,1.2482
127474402,https://github.com/MagicStack/immutables,C,952,22,47,262,8,47,396.0,1.6187,1.259,1.1797,10.75,2.186,1.4574,1.3431
3017189,https://github.com/evincarofautumn/kitten,Haskell,971,71,41,2913,65,41,247.0,2.1538,1.4041,1.2999,10.5,2.0,1.4524,1.3443
10273216,https://github.com/tomhrr/dale,C++,958,22,46,3859,24,46,399.25,1.9724,1.1006,1.1053,16.5,1.7273,1.307,1.2349
183857874,https://github.com/supermacro/neverthrow,TypeScript,985,8,36,1329,17,36,147.5,2.3254,1.6735,1.716,9.25,1.8919,1.4714,1.3592
305752128,https://github.com/morris/vanilla-todo,JavaScript,981,19,39,414,1,39,879.25,1.0401,1.0429,1.0286,23.75,1.2842,1.1393,1.1223
198678892,https://github.com/aws-cloudformation/cloudformation-coverage-roadmap,,985,155,40,30,636,40,524.5,1.3117,1.226,1.1678,11.25,1.9111,1.4302,1.3008
19596415,https://github.com/deaghean/omnifocus-perspective-icons,,972,81,47,58808,0,47,400.25,1.4928,1.323,1.2296,14.0,1.7857,1.44,1.3056
70123996,https://github.com/bibendi/dip,Ruby,993,17,28,402,9,28,230.0,1.9304,1.7995,1.2428,8.0,1.75,1.4286,1.4
