ids,name_repo,lenguaje,stargazers,watchers,forks,tamaño_kb,issues,network_size,star_q1,star_gq2,star_gq3,star_gq4,fork_q1,fork_gq2,fork_gq3,fork_gq4
165353666,https://github.com/retroplasma/earth-reverse-engineering,C,2115,68,189,1841,17,189,1726.0,1.0794,1.0749,1.0562,109.25,1.2403,1.1863,1.1571
184064793,https://github.com/decalage2/awesome-security-hardening,,2170,85,282,351,40,282,359.75,1.6261,1.4363,2.5826,58.5,1.8974,1.464,1.7046
58161011,https://github.com/jameysharp/corrode,Haskell,2110,68,116,725,81,116,1310.75,1.2848,1.1363,1.1027,46.75,1.5294,1.3042,1.244
71402554,https://github.com/dollarshaveclub/shave,JavaScript,2111,61,123,31623,2,123,1327.0,1.1922,1.1997,1.1122,39.5,1.6203,1.3984,1.2737
271918885,https://github.com/tinyhttp/tinyhttp,TypeScript,2171,19,100,10898,11,100,929.5,1.6364,1.2564,1.1361,29.5,1.8644,1.4,1.2987
58279252,https://github.com/cachapa/ExpandableLayout,Java,2143,47,268,3828,7,268,876.25,1.5629,1.2955,1.2078,81.5,1.7546,1.4371,1.2798
182410,https://github.com/stephencelis/ghi,Ruby,2154,35,147,1113,85,147,788.75,1.6945,1.3537,1.1905,37.75,1.8411,1.4712,1.3105
901663,https://github.com/libgit2/rugged,C,2145,72,281,22100,111,281,830.0,1.6458,1.3012,1.2068,69.5,1.9856,1.4891,1.3236
43486047,https://github.com/vadimdemedes/trevor,JavaScript,2144,25,83,2817,12,83,666.0,2.7327,1.0915,1.0793,30.0,1.6,1.3542,1.2769
5485762,https://github.com/hholtmann/smcFanControl,Objective-C,2169,90,281,5273,54,281,528.5,2.0227,1.5215,1.3335,68.75,2.0,1.4709,1.3201
232793032,https://github.com/sindresorhus/Plash,Swift,2167,21,80,8833,22,80,1010.0,1.3366,1.2963,1.2383,25.0,1.76,1.4205,1.28
59293418,https://github.com/robinweser/fela,JavaScript,2173,22,193,13056,9,193,827.0,1.6385,1.2701,1.2626,53.5,1.9065,1.4461,1.3017
447406555,https://github.com/Elfocrash/.NET-Backend-Developer-Roadmap,,2203,60,195,5392,2,195,1631.5,1.1407,1.0959,1.0802,110.0,1.2909,1.1761,1.1677
10483981,https://github.com/isaacs/github,,2169,99,141,23,1356,141,604.0,1.8742,1.4832,1.2918,34.25,2.0292,1.4784,1.3431
35771021,https://github.com/didip/tollbooth,Go,2224,47,199,221,8,199,635.0,1.8488,1.4766,1.283,58.0,1.7931,1.4423,1.3267
172532184,https://github.com/sorentwo/oban,Elixir,2213,41,198,1821,14,198,791.25,1.6638,1.3692,1.2277,46.0,2.0652,1.5579,1.3378
96041872,https://github.com/spatie/image-optimizer,PHP,2199,59,196,4596,3,196,695.0,1.9165,1.3303,1.241,51.0,1.902,1.4845,1.3333
218872560,https://github.com/denoland/rusty_v8,Rust,2218,39,214,2157,76,214,923.5,1.5647,1.2903,1.1896,58.0,1.8793,1.4771,1.2981
159351868,https://github.com/parca-dev/parca,TypeScript,2212,23,125,21591,57,125,287.0,2.3659,2.2798,1.4289,26.25,2.381,1.532,1.2742
91957658,https://github.com/wslutilities/wslu,Shell,2249,54,115,6443,10,115,585.25,1.8753,1.5677,1.3072,28.5,2.0351,1.4914,1.3179
17277700,https://github.com/Pana/nrm,JavaScript,2278,39,202,389,28,202,543.5,2.103,1.5306,1.3021,45.5,1.9341,1.4716,1.3668
244554606,https://github.com/bytedance/bytemd,TypeScript,2255,28,183,2773,32,183,322.5,3.3054,1.5263,1.386,50.0,1.9,1.4526,1.3188
191981426,https://github.com/SkalskiP/make-sense,TypeScript,2262,52,357,186772,58,357,1029.5,1.3861,1.3457,1.178,108.5,1.659,1.4139,1.3084
109145965,https://github.com/vitalets/github-trending-repos,HTML,2296,127,100,402,100,100,1469.25,1.1928,1.1556,1.1332,34.5,1.5942,1.3727,1.3113
167689891,https://github.com/dry-python/returns,Python,2225,35,85,3932,61,85,432.75,3.2652,1.2762,1.2339,27.0,1.7037,1.3913,1.3281
25592594,https://github.com/kconner/KMCGeigerCounter,Objective-C,2253,58,278,870,0,278,1126.0,1.425,1.2236,1.1476,78.5,1.8471,1.4724,1.2834
