ids,name_repo,lenguaje,stargazers,watchers,forks,tamaño_kb,issues,network_size,star_q1,star_gq2,star_gq3,star_gq4,fork_q1,fork_gq2,fork_gq3,fork_gq4
135855365,https://github.com/lukeed/dimport,JavaScript,555,5,5,48,5,5,483.5,1.2347,1.0561,1.0389,4.0,1.5,1.3333,1.25
379939977,https://github.com/sstadick/hck,Rust,543,5,14,252,3,14,562.5,1.0471,1.0484,1.0413,14.0,1.2857,1.2222,1.2727
19618487,https://github.com/carlosdcastillo/vim-mode,CoffeeScript,567,35,19,857,24,19,282.0,1.4858,1.327,1.1996,10.5,1.8095,1.4474,1.3091
318049537,https://github.com/sblom/RegExtract,C#,607,8,10,130,4,10,515.75,1.2225,1.071,1.047,9.0,1.4444,1.2692,1.2121
89494386,https://github.com/scf4/styled-map,JavaScript,593,6,15,656,0,15,200.5,2.606,1.178,1.1259,9.0,1.7778,1.4375,1.3043
314868163,https://github.com/mhx/dwarfs,C++,592,9,23,2507,16,23,537.0,1.067,1.1187,1.0796,27.5,1.2,1.1667,1.1429
143962408,https://github.com/rimeto/ts-optchain,TypeScript,582,21,17,158,17,17,216.5,1.9169,1.4084,1.1668,10.0,1.8,1.4444,1.3077
441005943,https://github.com/mintlify/writer,TypeScript,631,2,22,9963,17,22,385.0,1.3247,1.2157,1.179,12.0,1.8333,1.4545,1.375
268162878,https://github.com/tim-koehler/Helm-Intellisense,TypeScript,585,2,17,2792,4,17,229.5,1.6187,1.4044,1.3129,14.5,1.4483,1.3095,1.2364
261072457,https://github.com/kripod/otion,TypeScript,618,4,22,3362,18,22,459.25,1.203,1.1941,1.0883,15.0,1.7333,1.3462,1.2571
257727007,https://github.com/jurassiscripts/velociraptor,TypeScript,624,9,22,396,14,22,388.75,1.2617,1.2686,1.1635,15.0,1.6667,1.38,1.2754
14607753,https://github.com/tpope/timl,VimL,624,25,18,1572,4,18,584.5,1.0778,1.0722,1.0718,18.0,1.3333,1.25,1.2
394574917,https://github.com/Kotlin/kotlinx-kover,Kotlin,623,15,17,222,38,17,320.5,1.6693,1.185,1.1388,11.0,1.7273,1.3947,1.283
304434169,https://github.com/rtk-incubator/rtk-query,TypeScript,617,17,21,3364,1,21,375.0,1.3493,1.2905,1.098,11.5,1.8261,1.4524,1.3115
49630239,https://github.com/symfony/polyfill-apcu,PHP,636,5,5,23,0,5,409.0,1.3007,1.2124,1.1411,4.0,1.5,1.3333,1.25
113033869,https://github.com/monadgroup/axiom,C++,641,16,27,3272,37,27,492.0,1.1809,1.136,1.1227,23.5,1.4043,1.2879,1.2235
296542581,https://github.com/orijtech/structslop,Go,644,7,22,54,6,22,386.0,1.1231,1.5513,1.1063,15.5,1.4839,1.413,1.2923
84382796,https://github.com/fsprojects/Rezoom.SQL,F#,643,33,24,4245,30,24,482.75,1.1776,1.1614,1.1253,22.5,1.3778,1.2742,1.2152
80466405,https://github.com/yacy/yacy_grid_mcp,Java,656,15,23,2087,20,23,307.25,1.4142,1.5414,1.1288,12.5,1.84,1.4565,1.3134
142875118,https://github.com/ianh/owl,C,673,15,18,2805,4,18,630.25,1.075,1.0812,1.0553,15.0,1.4667,1.3182,1.2414
298674515,https://github.com/ghoullier/awesome-template-literal-types,,705,15,15,3253,0,15,376.5,1.4077,1.2981,1.1701,9.0,1.7778,1.4375,1.3043
113753709,https://github.com/cirocosta/cr,Go,685,13,20,10201,9,20,704.5,1.0433,1.0347,1.0322,20.0,1.45,1.1897,1.1594
55865493,https://github.com/andreypopp/react-css-components,JavaScript,684,7,23,519,6,23,634.0,1.0726,1.0824,1.0639,19.0,1.4737,1.3214,1.2432
472582409,https://github.com/rustlang-cn/Rustt,,780,19,32,972,16,32,543.5,1.2254,1.1265,1.1729,25.5,1.451,1.3243,1.3061
195665050,https://github.com/algolia/shipjs,JavaScript,722,38,23,12377,36,23,523.25,1.2011,1.1961,1.0934,12.5,2.0,1.42,1.2958
138140611,https://github.com/lukeed/navaid,JavaScript,720,12,27,92,6,27,427.0,1.267,1.2994,1.1664,16.5,1.7576,1.431,1.3012
174237208,https://github.com/nerdgeneration/www.sh,Shell,718,14,26,11,1,26,743.5,1.0343,1.0319,1.0309,30.0,1.2,1.1667,1.1429
78055849,https://github.com/tombonez/noTunes,Swift,795,12,22,597,7,22,225.5,1.9091,1.5348,1.3545,12.0,2.0,1.4167,1.2941
258450155,https://github.com/alan-ai/alan-sdk-ionic,TypeScript,785,8,12,213461,28,12,285.0,1.5298,1.3119,1.5455,6.0,1.6667,1.4,1.2857
280999981,https://github.com/farrow-js/farrow,TypeScript,722,13,31,2401,15,31,457.25,1.2947,1.209,1.1484,18.5,1.7838,1.4394,1.3053
39194973,https://github.com/gyzerok/adrenaline,JavaScript,721,22,32,504,5,32,349.0,1.5616,1.2945,1.1637,19.0,1.7368,1.4697,1.2784
78247590,https://github.com/spacejam/rio,Rust,739,34,34,177,25,34,476.0,1.3046,1.1659,1.1588,21.5,1.7209,1.4189,1.2952
30602838,https://github.com/Orbiter/OpenWebIndex,,746,5,1,151,0,1,360.0,1.3056,1.4936,1.2051,0,0,0,0
205848263,https://github.com/voicerepublic/status.voicerepublic.com,HTML,733,3,2,1,0,2,385.25,1.4783,1.2388,1.1807,2.5,1.2,1.1667,1.1429
44527610,https://github.com/NHDaly/tmux-better-mouse-mode,Shell,787,10,24,36,13,24,318.75,1.6204,1.3621,1.2608,13.5,1.8519,1.46,1.3151
184528339,https://github.com/voicerepublic/vr-mobile,,773,7,1,27397,0,1,337.75,1.7306,1.2545,1.1906,0,0,0,0
44387488,https://github.com/nuprl/10PL,,812,56,29,2090,1,29,542.75,1.2593,1.162,1.1483,23.5,1.4894,1.3286,1.2473
58718681,https://github.com/Orbiter/h4xx0r,HTML,752,2,0,2,0,0,361.75,1.3062,1.4905,1.2098,0,0,0,0
41371353,https://github.com/voicerepublic/vr-api-specs,Ruby,775,9,1,136,0,1,339.25,1.7259,1.2549,1.1909,0,0,0,0
143122800,https://github.com/scylladb/go-set,Go,795,24,24,126,1,24,607.25,1.1972,1.1235,1.0958,19.5,1.4872,1.3276,1.2468
163420599,https://github.com/neoclide/coc-snippets,Vim Snippet,787,8,38,894,1,38,282.75,1.7347,1.4215,1.2721,20.0,2.0,1.45,1.3103
152438565,https://github.com/TankerHQ/sdk-js,TypeScript,795,14,24,8541,1,24,637.0,1.332,1.0274,1.0267,27.0,1.4074,1.1316,1.1163
380244619,https://github.com/CollegesChat/university-information,Python,800,6,31,16030,1,31,760.0,1.0836,1.044,1.0468,39.0,1.2051,1.1809,1.1171
94544659,https://github.com/MichaelAquilina/zsh-you-should-use,Shell,825,6,28,474,10,28,339.25,1.6993,1.3075,1.2272,15.5,1.871,1.4655,1.3176
196635946,https://github.com/julvo/reloading,Python,855,6,23,623,3,23,757.5,1.0653,1.0861,1.0896,23.0,1.3913,1.2188,1.1795
39859622,https://github.com/billpmurphy/hask,Python,844,28,34,257,13,34,466.5,1.3419,1.135,1.3286,18.0,1.7778,1.5625,1.28
34902045,https://github.com/Seldaek/phar-utils,PHP,847,2,2,18,0,2,347.0,1.7118,1.3333,1.1957,2.5,1.2,1.1667,1.1429
390496407,https://github.com/spotify/ruler,Kotlin,823,19,33,1776,2,33,165.5,4.5831,1.1664,1.0432,15.0,2.7333,1.2561,1.2039
8212790,https://github.com/egison/egison,Haskell,841,44,34,8892,17,34,380.5,1.6058,1.2758,1.2072,21.0,1.7143,1.4167,1.3333
456728202,https://github.com/nextest-rs/nextest,Rust,858,3,21,130319,23,21,796.0,1.093,1.0388,1.06,19.0,1.4737,1.25,1.2
77410237,https://github.com/AnimaApp/Auto-Layout,HTML,867,22,41,116782,71,41,494.5,1.3266,1.2248,1.2035,21.0,2.1429,1.4111,1.2913
13570808,https://github.com/tj/node-thunkify,JavaScript,858,14,44,13,10,44,344.0,1.6192,1.3824,1.2442,23.5,1.9149,1.4778,1.3233
276042304,https://github.com/skytable/skytable,Rust,857,19,38,3139,11,38,184.0,2.7772,1.5245,1.2285,26.5,1.6226,1.407,1.2562
160438058,https://github.com/fossasia/fossasia-jekyll-theme,CSS,867,7,5,27996,0,5,324.75,1.9107,1.3074,1.192,4.0,1.5,1.3333,1.25
3389495,https://github.com/gerhard/deliver,Shell,886,26,45,246,2,45,636.0,1.195,1.1553,1.123,22.0,2.0,1.4545,1.3438
84448164,https://github.com/mitnk/cicada,Rust,877,15,47,1006,3,47,517.0,1.4739,1.1417,1.123,32.5,1.6923,1.3364,1.2517
309083187,https://github.com/enesozturk/react-native-hold-menu,TypeScript,883,10,45,90910,8,45,606.5,1.1369,1.2491,1.1414,26.0,1.8462,1.3542,1.3231
474176747,https://github.com/tnballo/high-assurance-rust,Rust,914,26,20,4456,0,20,922.0,1.0488,1.0326,1.0155,16.5,1.3939,1.2609,1.3793
57289216,https://github.com/joshuaclayton/unused,Haskell,874,19,26,272,1,26,479.25,1.3636,1.249,1.1933,15.0,1.8667,1.3929,1.2821
2276340,https://github.com/bkeepers/gaskit,JavaScript,915,21,49,467,3,49,720.5,1.1783,1.1066,1.0804,28.0,1.8571,1.4231,1.3243
30102538,https://github.com/dempseyatgithub/BuildSettingExtractor,Objective-C,930,22,48,2994,16,48,303.75,1.8025,1.5274,1.2317,26.5,1.8491,1.5,1.3061
363529166,https://github.com/sindrets/diffview.nvim,Lua,928,7,18,1093,10,18,480.25,1.3774,1.2691,1.2245,10.5,1.8095,1.4474,1.3091
152661983,https://github.com/tonybaloney/wily,Python,903,24,49,6114,28,49,421.25,1.4635,1.294,1.2573,25.5,1.9216,1.4796,1.3241
83734111,https://github.com/spacejam/tla-rust,TLA,921,45,19,745,1,19,704.5,1.1597,1.1365,1.0996,14.0,1.5714,1.3636,1.2667
59150440,https://github.com/BalestraPatrick/ParticlesLoadingView,Swift,949,16,44,252,1,44,727.75,1.1584,1.1272,1.1039,33.5,1.5224,1.3824,1.2482
127474402,https://github.com/MagicStack/immutables,C,952,22,47,262,8,47,496.0,1.494,1.224,1.1599,21.5,2.186,1.4574,1.3431
3017189,https://github.com/evincarofautumn/kitten,Haskell,971,71,41,2913,65,41,347.0,1.8213,1.3402,1.2645,21.0,2.0,1.4524,1.3443
10273216,https://github.com/tomhrr/dale,C++,958,22,46,3859,24,46,499.25,1.7777,1.0893,1.0944,33.0,1.7273,1.307,1.2349
183857874,https://github.com/supermacro/neverthrow,TypeScript,985,8,36,1329,17,36,247.5,1.7899,1.5214,1.6098,18.5,1.8919,1.4714,1.3592
305752128,https://github.com/morris/vanilla-todo,JavaScript,981,19,39,414,1,39,979.25,1.036,1.0387,1.0259,47.5,1.2842,1.1393,1.1223
198678892,https://github.com/aws-cloudformation/cloudformation-coverage-roadmap,,985,155,40,30,636,40,624.5,1.2618,1.1973,1.15,22.5,1.9111,1.4302,1.3008
19596415,https://github.com/deaghean/omnifocus-perspective-icons,,972,81,47,58808,0,47,500.25,1.3943,1.2767,1.2038,28.0,1.7857,1.44,1.3056
70123996,https://github.com/bibendi/dip,Ruby,993,17,28,402,9,28,330.0,1.6485,1.6526,1.2158,16.0,1.75,1.4286,1.4
357335905,https://github.com/reactive-tech/kubegres,Go,992,15,40,6734,38,40,303.5,2.8995,1.1284,1.0997,26.5,1.6981,1.4111,1.2598
61367476,https://github.com/crdoconnor/strictyaml,Python,1046,24,49,1217,80,49,440.0,1.5773,1.3343,1.2376,27.0,1.8519,1.46,1.3425
168782501,https://github.com/kanidm/kanidm,Rust,1020,19,46,34951,93,46,202.5,1.5481,3.2687,1.0929,21.5,2.0,1.686,1.269
82931976,https://github.com/toomuchdesign/re-reselect,TypeScript,1008,7,46,1544,7,46,349.0,1.8711,1.3813,1.2273,23.5,2.0851,1.4388,1.305
